"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"C","Salah Mejri",3000,"Dal@Min 05:00PM ET",2.350,"Dal"
"SF","Pat Connaughton",3000,"OKC@Por 09:00PM ET",1.750,"Por"
"SG","James Ennis",3000,"Bos@Mem 06:00PM ET",3.528,"Mem"
"SF","Michael Kidd-Gilchrist",3000,"Cha@Den 08:00PM ET",0,"Cha"
"SF","K.J. McDaniels",3000,"Ind@Hou 07:00PM ET",3.386,"Hou"
"SF","Branden Dawson",3000,"NO@LAC 03:30PM ET",3.875,"LAC"
"PF","Rakeem Christmas",3000,"Ind@Hou 07:00PM ET",0,"Ind"
"SF","Kostas Papanikolaou",3000,"Cha@Den 08:00PM ET",6.596,"Den"
"SF","Sam Dekker",3000,"Ind@Hou 07:00PM ET",1.083,"Hou"
"SG","R.J. Hunter",3000,"Bos@Mem 06:00PM ET",7.202,"Bos"
"SG","Jordan Adams",3000,"Bos@Mem 06:00PM ET",9.500,"Mem"
"SF","Justin Anderson",3000,"Dal@Min 05:00PM ET",4.393,"Dal"
"PF","Montrezl Harrell",3000,"Ind@Hou 07:00PM ET",6.588,"Hou"
"SF","Glenn Robinson III",3000,"Ind@Hou 07:00PM ET",7.036,"Ind"
"PF","Mitch McGary",3000,"OKC@Por 09:00PM ET",2.667,"OKC"
"SF","Cleanthony Early",3000,"Mil@NY 07:30PM ET",1.500,"NY"
"PF","Jarell Martin",3000,"Bos@Mem 06:00PM ET",1.000,"Mem"
"PF","Jordan Mickey",3000,"Bos@Mem 06:00PM ET",4.750,"Bos"
"PG","Terry Rozier",3000,"Bos@Mem 06:00PM ET",3.594,"Bos"
"PG","Tyler Ennis",3000,"Mil@NY 07:30PM ET",7.067,"Mil"
"SG","James Young",3000,"Bos@Mem 06:00PM ET",4.188,"Bos"
"PG","Aaron Harrison",3000,"Cha@Den 08:00PM ET",2.542,"Cha"
"C","Joel Embiid",3000,"Cle@Phi 06:00PM ET",0,"Phi"
"PG","Dante Exum",3000,"Uta@LAL 09:30PM ET",0,"Uta"
"SF","Damien Inglis",3000,"Mil@NY 07:30PM ET",3.357,"Mil"
"SF","Damjan Rudez",3000,"Dal@Min 05:00PM ET",3.950,"Min"
"PF","Cliff Alexander",3000,"OKC@Por 09:00PM ET",3.286,"Por"
"SG","Rashad Vaughn",3000,"Mil@NY 07:30PM ET",4.875,"Mil"
"SF","Luis Montero",3000,"OKC@Por 09:00PM ET",2.357,"Por"
