"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"17517","SG","Tony","Snell","12","32","3500","CHI@ATL","CHI","ATL","","","",""
"18256","SF","Doug","McDermott","11.7","33","3500","CHI@ATL","CHI","ATL","","","",""
"12369","SG","Lance","Stephenson","9.6","32","3500","CHA@LAC","LAC","CHA","","","",""
"17894","PF","Mike","Muscala","8.4","26","3500","CHI@ATL","ATL","CHI","","","",""
"14533","PG","Shelvin","Mack","9.2","14","3500","CHI@ATL","ATL","CHI","","","",""
"17520","PF","Cameron","Bairstow","2.6","6","3500","CHI@ATL","CHI","ATL","","","",""
"23757","PG","Brian","Roberts","6.1","18","3500","CHA@LAC","CHA","LAC","","","",""
"15846","SG","Tim","Hardaway Jr.","6.9","6","3500","CHI@ATL","ATL","CHI","","","",""
"55063","C","Walter","Tavares","6.6","7","3500","CHI@ATL","ATL","CHI","","","",""
"16089","SG","Lamar","Patterson","6.5","29","3500","CHI@ATL","ATL","CHI","","","",""
"9551","PF","Tyler","Hansbrough","5.5","19","3500","CHA@LAC","CHA","LAC","","","",""
"16604","SG","Justin","Holiday","5.6","20","3500","CHI@ATL","ATL","CHI","","","",""
"23234","PG","Pablo","Prigioni","7.6","16","3500","CHA@LAC","LAC","CHA","","","",""
"63478","C","Cristiano","Felicio","1.8","2","3500","CHI@ATL","CHI","ATL","","","",""
"9449","PF","Josh","Smith","13.9","30","3500","CHA@LAC","LAC","CHA","","","",""
"9796","SF","Luc Richard","Mbah a Moute","6.2","34","3500","CHA@LAC","LAC","CHA","","","",""
"12421","C","Tiago","Splitter","12","24","3500","CHI@ATL","ATL","CHI","","","",""
