"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"14511","PF","Markieff","Morris","18.7","23","4400","MIA@PHO","PHO","MIA","","","",""
"9542","PF","Luis","Scola","19.9","37","4400","TOR@WAS","TOR","WAS","","","",""
"11074","SG","Garrett","Temple","14.3","31","4400","TOR@WAS","WAS","TOR","","","",""
"55062","C","Nikola","Jokic","18.4","34","4400","DEN@MEM","DEN","MEM","","","",""
"20064","PG","Matthew","Dellavedova","19.4","32","4300","CLE@MIN","CLE","MIN","","","",""
"9810","PG","Jerryd","Bayless","20.8","24","4300","DAL@MIL","MIL","DAL","O","Ankle","",""
"9495","PG","Jose Juan","Barea","18","30","4300","DAL@MIL","DAL","MIL","","","",""
"9479","SF","Luol","Deng","19","29","4300","MIA@PHO","MIA","PHO","","","",""
"9553","C","Roy","Hibbert","19.4","36","4300","OKC@LAL","LAL","OKC","","","",""
"20992","PF","Larry","Nance Jr.","13.8","31","4300","OKC@LAL","LAL","OKC","","","",""
"9629","PF","David","West","14.9","37","4300","NY@SA","SA","NY","","","",""
"9605","PG","Ramon","Sessions","17.5","33","4300","TOR@WAS","WAS","TOR","","","",""
"55057","C","Jusuf","Nurkic","22.3","3","4300","DEN@MEM","DEN","MEM","","","",""
"9484","PG","Mo","Williams","18.9","25","4200","CLE@MIN","CLE","MIN","","","",""
"14527","PG","Norris","Cole","15.8","17","4200","IND@NO","NO","IND","","","",""
"9574","SG","O.J.","Mayo","18.2","26","4200","DAL@MIL","MIL","DAL","","","",""
"9601","C","Andrew","Bogut","20.1","28","4200","GS@POR","GS","POR","","","",""
"23178","PF","Mirza","Teletovic","15.3","38","4200","MIA@PHO","PHO","MIA","","","",""
"23169","C","Steven","Adams","17.3","36","4200","OKC@LAL","OKC","LAL","","","",""
"9712","PG","Jose","Calderon","17.8","37","4200","NY@SA","NY","SA","","","",""
"9725","SF","C.J.","Miles","20.4","30","4200","IND@NO","IND","NO","","","",""
"24544","SG","Gary","Harris","17.5","30","4100","DEN@MEM","DEN","MEM","","","",""
"9471","PF","Boris","Diaw","14.7","37","4100","NY@SA","SA","NY","","","",""
"14515","SG","Iman","Shumpert","14","11","4100","CLE@MIN","CLE","MIN","","","",""
"40783","SG","Zach","LaVine","20.8","36","4100","CLE@MIN","MIN","CLE","","","",""
"9615","SG","Courtney","Lee","17.2","37","4100","DEN@MEM","MEM","DEN","GTD","Side","",""
"15814","C","Alex","Len","15.7","38","4000","MIA@PHO","PHO","MIA","","","",""
"18600","PG","Tyler","Johnson","16.1","26","4000","MIA@PHO","MIA","PHO","","","",""
"16220","SG","Dion","Waiters","16.9","36","4000","OKC@LAL","OKC","LAL","","","",""
"9458","SG","Tony","Allen","14.6","32","4000","DEN@MEM","MEM","DEN","","","",""
"9491","PF","J.J.","Hickson","16.8","17","4000","DEN@MEM","DEN","MEM","","","",""
"12365","PF","Ed","Davis","18.8","37","4000","GS@POR","POR","GS","","","",""
"9512","PF","Nene","Hilario","16.5","13","4000","TOR@WAS","WAS","TOR","","","",""
"14500","PF","Derrick","Williams","13.3","36","4000","NY@SA","NY","SA","","","",""
"42148","SF","Rondae","Hollis-Jefferson","17.2","19","4000","ORL@BKN","BKN","ORL","O","Ankle","",""
"9677","SF","Jared","Dudley","16.4","32","4000","TOR@WAS","WAS","TOR","","","",""
"9739","C","JaVale","McGee","11.3","17","3900","DAL@MIL","DAL","MIL","","","",""
"15669","C","Meyers","Leonard","16.8","31","3900","GS@POR","POR","GS","","","",""
"16196","PF","Dwight","Powell","17.2","34","3900","DAL@MIL","DAL","MIL","","","",""
"9473","C","Tyson","Chandler","16","29","3900","MIA@PHO","PHO","MIA","","","",""
"12357","SF","Quincy","Pondexter","0","25","3900","IND@NO","NO","IND","O","Knee","",""
"15952","PF","John","Henson","16.1","32","3900","DAL@MIL","MIL","DAL","","","",""
"58460","SG","Devin","Booker","11.3","32","3900","MIA@PHO","PHO","MIA","","","",""
"40209","C","Joffrey","Lauvergne","18.1","19","3900","DEN@MEM","DEN","MEM","","","",""
"9849","SG","Gerald","Green","16.6","29","3800","MIA@PHO","MIA","PHO","","","",""
"17747","SG","Ian","Clark","8.2","30","3800","GS@POR","GS","POR","","","",""
"9613","SG","Devin","Harris","14.7","30","3800","DAL@MIL","DAL","MIL","","","",""
"9694","SG","Kevin","Martin","16.7","27","3800","CLE@MIN","MIN","CLE","","","",""
"9671","PF","Marreese","Speights","10.4","29","3800","GS@POR","GS","POR","","","",""
"12445","SG","Gary","Neal","15","25","3800","TOR@WAS","WAS","TOR","","","",""
"9758","SG","Danny","Green","15.7","37","3700","NY@SA","SA","NY","","","",""
"16405","SG","Terrence","Ross","13.6","31","3700","TOR@WAS","TOR","WAS","","","",""
"9956","SG","Wayne","Ellington","10.3","34","3700","ORL@BKN","BKN","ORL","","","",""
"9935","C","Brandan","Wright","14.1","7","3700","DEN@MEM","MEM","DEN","O","Knee","",""
"41594","PF","Aaron","Gordon","16.2","35","3700","ORL@BKN","ORL","BKN","","","",""
"63826","C","Boban","Marjanovic","10","21","3700","NY@SA","SA","NY","","","",""
"14529","PG","Cory","Joseph","16.9","37","3700","TOR@WAS","TOR","WAS","","","",""
"16859","SF","Lance","Thomas","12.4","37","3700","NY@SA","NY","SA","","","",""
"9549","SG","Brandon","Rush","10.7","26","3700","GS@POR","GS","POR","","","",""
"9580","PF","Darrell","Arthur","14.9","33","3700","DEN@MEM","DEN","MEM","","","",""
"9659","PF","Brandon","Bass","13.7","31","3700","OKC@LAL","LAL","OKC","","","",""
"23717","SF","Shabazz","Muhammad","12.2","36","3700","CLE@MIN","MIN","CLE","","","",""
"9723","PG","Ronnie","Price","9.8","34","3700","MIA@PHO","PHO","MIA","GTD","Foot","",""
"66521","PG","Marcelo","Huertas","9","20","3700","OKC@LAL","LAL","OKC","","","",""
"17230","SG","Langston","Galloway","16.5","37","3700","NY@SA","NY","SA","","","",""
"16178","SF","Maurice","Harkless","11.7","38","3600","GS@POR","POR","GS","","","",""
"9939","PG","Patrick","Mills","15.4","37","3600","NY@SA","SA","NY","","","",""
"48567","PG","Cameron","Payne","8.7","20","3600","OKC@LAL","OKC","LAL","","","",""
"9529","SG","Anthony","Morrow","9.2","34","3600","OKC@LAL","OKC","LAL","","","",""
"14549","PF","Lavoy","Allen","14.4","34","3600","IND@NO","IND","NO","","","",""
"9525","PG","C.J.","Watson","13.1","8","3600","ORL@BKN","ORL","BKN","O","Calf","",""
"18352","PG","Ray","McCallum","5.7","16","3600","NY@SA","SA","NY","","","",""
"12340","PF","Patrick","Patterson","14.2","37","3600","TOR@WAS","TOR","WAS","","","",""
"18821","SG","Jonathon","Simmons","10.2","23","3600","NY@SA","SA","NY","","","",""
"9643","PG","Shaun","Livingston","13.3","32","3600","GS@POR","GS","POR","","","",""
"23716","SF","Kyle","Anderson","8.6","35","3600","NY@SA","SA","NY","","","",""
