"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF","Brandon Bass",3800,"OKC@LAL 10:30PM ET",14.177,"LAL"
"SG","Danny Green",3800,"NY@SA 08:30PM ET",17.176,"SA"
"SG","Iman Shumpert",3800,"Cle@Min 08:00PM ET",15.114,"Cle"
"SG","Terrence Ross",3800,"Tor@Was 07:00PM ET",14.847,"Tor"
"C","Alex Len",3800,"Mia@Pho 09:30PM ET",16.757,"Pho"
"SF","Shabazz Muhammad",3800,"Cle@Min 08:00PM ET",12.944,"Min"
"PG","Devin Harris",3700,"Dal@Mil 08:00PM ET",15.608,"Dal"
"PF","Patrick Patterson",3700,"Tor@Was 07:00PM ET",15.486,"Tor"
"C","Lavoy Allen",3700,"Ind@NO 08:00PM ET",15.287,"Ind"
"SG","Ian Clark",3700,"GS@Por 10:00PM ET",9.033,"GS"
"SG","Dion Waiters",3700,"OKC@LAL 10:30PM ET",18.250,"OKC"
"SG","Tyler Johnson",3700,"Mia@Pho 09:30PM ET",17.173,"Mia"
"PG","Mo Williams",3600,"Cle@Min 08:00PM ET",20.520,"Cle"
"PG","Randy Foye",3600,"Den@Mem 08:00PM ET",13.514,"Den"
"SG","Anthony Morrow",3600,"OKC@LAL 10:30PM ET",10.044,"OKC"
"SF","Derrick Williams",3600,"NY@SA 08:30PM ET",13.938,"NY"
"PG","Cory Joseph",3600,"Tor@Was 07:00PM ET",17.797,"Tor"
"C","Joffrey Lauvergne",3600,"Den@Mem 08:00PM ET",19.276,"Den"
"SF","Justise Winslow",3600,"Mia@Pho 09:30PM ET",14.922,"Mia"
"PF","Channing Frye",3500,"Orl@Bkn 07:30PM ET",13.565,"Orl"
"PF","Kris Humphries",3500,"Tor@Was 07:00PM ET",14.102,"Was"
"SG","Brandon Rush",3500,"GS@Por 10:00PM ET",11.750,"GS"
"SG","Wayne Ellington",3500,"Orl@Bkn 07:30PM ET",11.118,"Bkn"
"SF","Lance Thomas",3500,"NY@SA 08:30PM ET",13.378,"NY"
"PG","Greivis Vasquez",3500,"Dal@Mil 08:00PM ET",17.047,"Mil"
"C","JaVale McGee",3500,"Dal@Mil 08:00PM ET",11.941,"Dal"
"SF","James Johnson",3500,"Tor@Was 07:00PM ET",10.741,"Tor"
"PF","Andrew Nicholson",3500,"Orl@Bkn 07:30PM ET",14.898,"Orl"
"SG","Langston Galloway",3500,"NY@SA 08:30PM ET",17.527,"NY"
"SG","Nick Young",3400,"OKC@LAL 10:30PM ET",12.906,"LAL"
"C","Marreese Speights",3400,"GS@Por 10:00PM ET",11.181,"GS"
"SF","Maurice Harkless",3400,"GS@Por 10:00PM ET",12.579,"Por"
"SG","Kevin Martin",3300,"Cle@Min 08:00PM ET",17.824,"Min"
"PG","Ronnie Price",3300,"Mia@Pho 09:30PM ET",10.706,"Pho"
"PF","Charlie Villanueva",3300,"Dal@Mil 08:00PM ET",11.445,"Dal"
"PF","J.J. Hickson",3300,"Den@Mem 08:00PM ET",16.667,"Den"
"PF","Kyle O'Quinn",3300,"NY@SA 08:30PM ET",14.345,"NY"
"PG","Shabazz Napier",3300,"Orl@Bkn 07:30PM ET",9.613,"Orl"
"C","Boban Marjanovic",3300,"NY@SA 08:30PM ET",10.476,"SA"
"PG","Cameron Payne",3300,"OKC@LAL 10:30PM ET",9.250,"OKC"
"SF","Kelly Oubre Jr.",3300,"Tor@Was 07:00PM ET",9.519,"Was"
"PF","Kevin Garnett",3200,"Cle@Min 08:00PM ET",13.718,"Min"
"PF","Jason Smith",3200,"Orl@Bkn 07:30PM ET",11.435,"Orl"
"SG","Gerald Henderson",3200,"GS@Por 10:00PM ET",11.991,"Por"
"C","Nikola Pekovic",3200,"Cle@Min 08:00PM ET",13.500,"Min"
"C","Omer Asik",3200,"Ind@NO 08:00PM ET",9.806,"NO"
"SG","Andre Roberson",3200,"OKC@LAL 10:30PM ET",13.236,"OKC"
"SF","Anthony Brown",3200,"OKC@LAL 10:30PM ET",7.023,"LAL"
"C","Timofey Mozgov",3200,"Cle@Min 08:00PM ET",13.792,"Cle"
